date	open	high	low	close	volume	symbol
2024-02-02	16.34000015258789	17.020000457763672	16.145000457763672	17.020000457763672	56983900	PLTR
2024-02-05	17.559999465942383	17.8700008392334	16.479999542236328	16.719999313354492	167698300	PLTR
2024-02-06	20.299999237060547	22.18000030517578	19.760000228881836	21.8700008392334	420501900	PLTR
2024-02-07	21.600000381469727	23.8700008392334	21.3799991607666	23.600000381469727	254911100	PLTR
2024-02-08	23.959999084472656	25.059999465942383	23.31999969482422	24.510000228881836	212671100	PLTR
2024-02-09	25.040000915527344	25.11000061035156	23.56999969482422	24.3799991607666	149062000	PLTR
2024-02-12	23.90999984741211	25.524999618530273	23.81999969482422	25.049999237060547	108173000	PLTR
2024-02-13	23.530000686645508	24.65999984741211	23.309999465942383	24.010000228881836	102293300	PLTR
2024-02-14	24.149999618530273	25.5	23.7549991607666	25.190000534057617	97227900	PLTR
2024-02-15	25.040000915527344	25.459999084472656	24.709999084472656	25.40999984741211	70544300	PLTR
2024-02-16	24.959999084472656	25.4950008392334	24.38999938964844	24.440000534057617	65212100	PLTR
2024-02-20	23.84000015258789	24.0	22.71500015258789	23.399999618530273	93374300	PLTR
2024-02-21	22.299999237060547	22.93000030517578	22.290000915527344	22.739999771118164	60411500	PLTR
2024-02-22	23.770000457763672	23.950000762939453	23.049999237060547	23.59000015258789	64458200	PLTR
2024-02-23	23.530000686645508	24.06999969482422	22.81999969482422	22.969999313354492	48840800	PLTR
2024-02-26	23.030000686645508	23.8799991607666	22.940000534057617	23.559999465942383	46499500	PLTR
2024-02-27	23.760000228881836	24.6200008392334	23.719999313354492	24.530000686645508	64967400	PLTR
2024-02-28	24.520000457763672	24.84000015258789	24.2450008392334	24.420000076293945	47314000	PLTR
2024-02-29	24.809999465942383	25.292999267578125	24.36000061035156	25.079999923706055	62753300	PLTR
2024-03-01	25.299999237060547	25.690000534057617	24.53499984741211	24.93000030517578	63090500	PLTR
2024-03-04	24.399999618530273	24.579999923706055	23.530000686645508	24.040000915527344	64320000	PLTR
2024-03-05	23.959999084472656	24.409000396728516	23.43000030517578	23.809999465942383	49542300	PLTR
